name	id	gender	language	variations	meaning
Ivanka	/m/0bs00hq				
Eadric	/m/09ghdr7				
Akbulat	/m/0b6kpc3				
Caer Ibormeith	/m/09vh0z				
Sol	/m/0bs6_rr				
Orlene	/m/05d7jfr	Female	Latin Language,Hebrew Language	/m/05d7k7k,/m/05d7k1w,/m/05d7jfn,/m/05d7kph,/m/05d7k25,/m/05d7kpn,/m/05d7kp0,/m/05d7k2b,/m/05d7jjr,/m/05d7k1q,/m/05d7krg,/m/05d7kp5,/m/05d7k20,/m/05d7k1k,/m/05d7kpb	
Ozan	/m/05d7llc	Male	Turkish Language	/m/05d7llh	
Pernilla	/m/065yjkn				
Shripad	/m/05zp3wk				
Adrianna	/m/05d1___	Female	Greek Language,Latin Language	/m/05d2058,/m/05d20fw,/m/05d2064,/m/05d2084,/m/05d1__x,/m/05d20fg,/m/05d204b,/m/05d209b,/m/05d20g8	
Abie	/m/05d1w35	Male,Female	Hebrew Language	/m/05d1y19,/m/05d1wr_,/m/05d1xwm,/m/05d1y0g,/m/05d1xqv,/m/05d1x_m,/m/05d1ytg,/m/05d1xqg,/m/05d1xwf,/m/05d1xsg,/m/05d1wkx,/m/05d1x9n,/m/05d1xtl	
Abner	/m/05d1wlj	Male	Hebrew Language		
Acatia	/m/05d1xms	Female	Greek Language	/m/05d1xmp,/m/05d1xxz	
Abbondazio	/m/05d1xpq	Male	Latin Language	/m/05d1xnz,/m/05d1xp6,/m/05d1xpg	
Aline	/m/05d1xyk	Female	Hebrew Language,Latin Language	/m/05d1yjx,/m/05d1yk1,/m/05d1_6r,/m/05d1_2z,/m/05d1_cw,/m/05d1_71,/m/05d1_76,/m/05d1yjr,/m/05d1yjb,/m/05d1_7v,/m/05d1_7j,/m/05d1_cq,/m/05d1_7c,/m/05d1yjl,/m/05d1yjf,/m/05d1_7p,/m/05d1xyg,/m/05d1_6x	
Adeline	/m/05d1y7d	Female	Hebrew Language,Latin Language	/m/05d1_9f,/m/05d1_bj,/m/05d1_cg,/m/05d1_bv,/m/05d1yjx,/m/05d1_b6,/m/05d1_bp,/m/05d1_bc,/m/05d1y79,/m/05d1_b_,/m/05d1_9r,/m/05d1_9l,/m/05d1_9x,/m/05d1_c9,/m/05d1_2q,/m/05d1_98,/m/05d1_b1,/m/05d1_c4	
Adolphe	/m/05d1ywv	Male	German Language	/m/05d1z2g,/m/05d1ywr,/m/05d1zt2,/m/05d1_gr,/m/05d1_gv,/m/05d1z3d,/m/05d1ztm	
Afina	/m/05d1zsd	Female	Romanian Language		
Allan	/m/05d20r1	Male	Gaelic	/m/05d20qy,/m/05d20rb,/m/05d20rp,/m/05d20s6	
Amrit	/m/05d29f5	Male	Hindi Language		
Stacia	/m/05d29mm	Female	Greek Language	/m/05d2b88,/m/05d2b83,/m/05d2b97,/m/05d2b92,/m/05d2b2p,/m/05d2b8r,/m/05d29xf,/m/05d2b41,/m/05d2b8x,/m/05d2b8f,/m/05d2b8l,/m/05d2b0x	
Brew	/m/05d2_1z	Male	Old English language	/m/05d2_22	
Anezka	/m/05d2cnx	Female	Czech Language		
Anjali	/m/05d2ddj	Female	Hindi Language		
Arabelle	/m/05d2h38	Female	German Language	/m/05d2h35,/m/05d2hlr	
Aretha	/m/05d2h4t	Female	Greek Language		
Arkin	/m/05d2j1k	Male	Norwegian Language		
Aroha	/m/05d2k5r	Female	Māori language	/m/05d2k5h	
Aurilia	/m/05d2lkv	Female	Latin Language	/m/05d2lf3,/m/05d2ndd,/m/05d2lkq	
Balder	/m/05d2p9c	Male	Swedish Language		
Barak	/m/05d2q62	Male	Arabic Language		
Zebedeo	/m/05d9wcq	Male	Aramaic language	/m/05d9wcv	
Bancroft	/m/05d2q_5	Male	Old English language		
Bastiaan	/m/05d2r8w	Male	Greek Language	/m/05d2r8_	
Beau	/m/05d2scd	Male	French Language	/m/05d2smd,/m/05d2smk	
